Changes in global thermal expansion (mm) relative to the 1971 average.
Year,Central Estimate 0-700m,0-700m Uncertainty (1-sigma),Central Estimate 700-2000m,700-2000m Uncertainty (1-sigma),Central Estimate >2000m,>2000m Uncertainty (1-sigma),Central Estimate Full-depth,Full-depth Uncertainty (1-sigma)
1971.5,0.0,5.173231163241414,0.0,1.648338805864189,0.0,0.0,0.0,6.821569969105603
1972.5,1.316304968375789,5.098596860288887,-0.010967333333333329,1.6433423088234203,0.0,0.0,1.3053376350424557,6.741939169112307
1973.5,0.8250547033324196,5.434974467602127,-0.31032166666666594,1.74851238315014,0.0,0.0,0.5147330366657537,7.183486850752267
1974.5,1.8337675627286885,5.741644137467111,0.24330466666666695,1.801224033363224,0.0,0.0,2.0770722293953554,7.542868170830335
1975.5,1.1703759307396027,5.967027164679105,0.5675540000000012,1.8664254908028002,0.0,0.0,1.737929930739604,7.833452655481905
1976.5,3.361900730880393,6.095075403292816,0.9510503333333338,1.8531605243867544,0.0,0.0,4.312951064213727,7.94823592767957
1977.5,3.3803876074817083,5.878307489227586,0.819284333333334,1.7641987729706214,0.0,0.0,4.199671940815042,7.642506262198207
1978.5,5.202457398458154,5.461301246655039,0.608264000000001,1.5600101941446116,0.0,0.0,5.810721398458155,7.021311440799651
1979.5,6.3044466477137835,5.441331325378851,0.8662913333333346,1.3833017842832938,0.0,0.0,7.170737981047118,6.824633109662145
1980.5,8.148093906014019,5.498932945184994,1.0417476666666676,1.3235756987301475,0.0,0.0,9.189841572680686,6.822508643915142
1981.5,8.926797981905155,5.912549416755001,1.0096406666666677,1.3043279610888068,0.0,0.0,9.936438648571823,7.216877377843807
1982.5,7.507153099340149,5.7417823920306015,0.7255463333333338,1.3063992612901796,0.0,0.0,8.232699432673483,7.048181653320781
1983.5,6.187923729381591,5.386350377867287,0.7293410000000007,1.3576981325280681,0.0,0.0,6.917264729381592,6.744048510395356
1984.5,5.377702651778849,5.096281343031767,1.2107860000000006,1.5221363426808447,0.0,0.0,6.5884886517788495,6.618417685712611
1985.5,6.480335274851809,4.863795765301799,1.6754636666666674,1.5166923666688026,0.0,0.0,8.155798941518476,6.380488131970602
1986.5,7.571015433637989,4.5957069682227125,1.7139086666666667,1.4266246289593698,0.0,0.0,9.284924100304655,6.022331597182083
1987.5,10.42615779689959,4.445230637574998,1.8153786666666676,1.353854304922905,0.0,0.0,12.241536463566257,5.7990849424979025
1988.5,12.138507331365991,4.512624113631062,1.823625333333334,1.3479653738831237,0.0,0.0,13.962132664699325,5.8605894875141855
1989.5,13.755498442304834,4.315430636958964,1.9975923333333343,1.2900254383547907,0.0,0.0,15.753090775638167,5.605456075313755
1990.5,13.84724362392201,3.760469660440815,2.057989000000001,1.3236724376288693,0.0,0.0,15.90523262392201,5.084142098069684
1991.5,12.211728983274384,3.096519082535416,2.4401323333333345,1.2657154796415073,0.0,0.0,14.651861316607718,4.362234562176924
1992.5,11.436673405666028,2.53183418011951,3.0699723333333337,1.2228232453551389,0.12,0.0364741641337386,14.626645738999361,3.7911315896083875
1993.5,10.935766725111218,2.311200274098363,3.6394156666666673,1.1633637392165805,0.24,0.0729483282674772,14.815182391777887,3.547512341582421
1994.5,11.768617244618337,2.3445175313511126,3.418142333333334,1.130419100910028,0.36,0.10942249240121579,15.54675957795167,3.5843591246623565
1995.5,13.386549005015175,2.4836109413887466,3.368672333333334,1.1281729668643712,0.48,0.1458966565349544,17.23522133834851,3.7576805647880724
1996.5,14.392068826526362,2.5805800533103667,3.5216190000000003,1.1166445497147384,0.6,0.182370820668693,18.513687826526365,3.879595423693798
1997.5,14.182252796554518,2.3846164414119033,3.491995666666667,1.139900529286442,0.72,0.21884498480243159,18.394248463221185,3.7433619555007764
1998.5,12.96661075665689,2.3725626317074577,3.548322333333334,1.167245388751172,0.84,0.2553191489361702,17.354933089990222,3.7951271693948
1999.5,13.41421855104303,2.7028706870536396,3.2896990000000006,1.2604950196057603,0.96,0.2917933130699088,17.66391755104303,4.255159019729309
2000.5,14.107895973094653,4.120449318709382,3.832242333333334,1.1661106765347533,1.08,0.3282674772036474,19.020138306427988,5.614827472447783
2001.5,17.067175767619272,4.281914375991095,4.212202333333334,1.125569471548534,1.2000000000000002,0.36474164133738607,22.479378100952605,5.772225488877015
2002.5,18.363727036411287,4.069180537277731,5.007962333333333,1.05378094703764,1.3200000000000003,0.4012158054711247,24.691689369744623,5.524177289786496
2003.5,21.039908198422083,2.5673565874389275,5.581002333333334,1.0218453745464127,1.4400000000000004,0.43768996960486334,28.060910531755418,4.026891931590204
2004.5,21.116549190148056,2.2425516270106853,6.0984490000000005,1.0177031870348983,1.5600000000000005,0.47416413373860195,28.77499819014806,3.7344189477841856
2005.5,21.953105700056025,2.0895568875901267,6.446382333333334,1.0019589512661122,1.6800000000000006,0.5106382978723406,30.07948803338936,3.6021541367285796
2006.5,22.32509457753177,2.066857497118809,6.658055666666668,0.9922658393876916,1.8000000000000007,0.5471124620060792,30.783150244198442,3.6062357985125795
2007.5,23.73137796138326,2.0489827505842175,6.807105666666667,0.966664527654137,1.9200000000000008,0.5835866261398178,32.458483628049926,3.5992339043781723
2008.5,25.014941148156076,2.072044848408818,6.925242333333334,0.9396345816961647,2.040000000000001,0.6200607902735565,33.98018348148941,3.631740220378539
2009.5,25.89028081036123,2.02604556448738,7.189649000000001,0.9218608800278186,2.160000000000001,0.6565349544072951,35.23992981036123,3.6044413989224937
2010.5,26.222856780434842,2.021889564294279,7.583439,0.9166888445082931,2.280000000000001,0.6930091185410338,36.086295780434845,3.6315875273436062
